bridge_id,latitude,longitude,status
1118959406,28.5519233,77.0479828,Unidentified
1118959406,28.5523205,77.0483345,Unidentified
1118959406,28.5526199,77.0485836,Unidentified
1118959406,28.5528789,77.048837,Unidentified
1118959406,28.5538044,77.0498162,Unidentified
1118959406,28.5545216,77.05049,Unidentified
1118978386,28.552476,77.0535158,Unidentified
1118978386,28.5521775,77.0536929,Unidentified
1118978386,28.5518379,77.053863,Unidentified
1118978386,28.5511957,77.0541472,Unidentified
1118978386,28.5508346,77.0543113,Unidentified
1118978386,28.550534,77.054444,Unidentified
1118978386,28.5502712,77.0545831,Unidentified
1118978386,28.5499242,77.0547783,Unidentified
1118978386,28.5496527,77.0549616,Unidentified
1118978386,28.549099,77.055375,Unidentified
1118978390,28.5509289,77.0476891,Unidentified
1118978390,28.5507938,77.0475774,Unidentified
1118978390,28.5499798,77.0468775,Unidentified
1118978390,28.5494235,77.0463914,Unidentified
1118978390,28.5488784,77.0458602,Unidentified
1118978390,28.5483985,77.0453165,Unidentified
1118978396,28.5470805,77.0424289,Unidentified
1118978396,28.5469321,77.0426733,Unidentified
1118978396,28.5468592,77.0428233,Unidentified
1118978396,28.5468075,77.0429665,Unidentified
1118978396,28.5467859,77.0431344,Unidentified
1118978396,28.5467994,77.0432991,Unidentified
1118978396,28.5468401,77.0434523,Unidentified
1118978396,28.5469353,77.0436259,Unidentified
1118978396,28.5470793,77.0437964,Unidentified
1118978396,28.5473642,77.0440648,Unidentified
1118978396,28.5476409,77.0443693,Unidentified
1118978396,28.5478577,77.0446415,Unidentified
1119036659,28.5570121,77.0427224,Unidentified
1119036659,28.5571852,77.0424928,Unidentified
1119036659,28.5572909,77.042415,Unidentified
1119036659,28.5574239,77.0424045,Unidentified
1119036659,28.5575547,77.0424572,Unidentified
1119036659,28.5577045,77.0425679,Unidentified
1119036659,28.557799,77.0426725,Unidentified
1119036659,28.5579175,77.042818,Unidentified
1119036659,28.5581048,77.0430618,Unidentified
1119036659,28.5583002,77.0432873,Unidentified
1119036659,28.5583591,77.0433574,Unidentified
1119036660,28.5581108,77.0433978,Unidentified
1119036660,28.5582628,77.0435094,Unidentified
1121152278,28.6189808,77.2171362,Unidentified
1121152278,28.6190459,77.2173113,Unidentified
1121152278,28.6191155,77.217461,Unidentified
1121152278,28.6192141,77.2176372,Unidentified
1121152278,28.6192315,77.2177098,Unidentified
1121152278,28.6192237,77.2177538,Unidentified
1121152278,28.6191757,77.2177956,Unidentified
1121198024,28.5710282,77.1765818,Unidentified
1121198024,28.5710882,77.176627,Unidentified
1121198025,28.5711064,77.1766407,Unidentified
1121198025,28.5711663,77.176686,Unidentified
1122107667,28.5495684,77.259307,Unidentified
1122107667,28.5495848,77.2593315,Unidentified
1122107667,28.5498015,77.2591478,Unidentified
1122107667,28.5498557,77.2590861,Unidentified
1122107667,28.5498922,77.2590391,Unidentified
1122107667,28.5499205,77.2589681,Unidentified
1122107667,28.5499276,77.2588822,Unidentified
1122107667,28.5499261,77.2586889,Unidentified
1122107667,28.5499276,77.2584289,Unidentified
1122107667,28.5501102,77.25769,Unidentified
1122107667,28.5501125,77.2576591,Unidentified
1122107667,28.5501113,77.2576377,Unidentified
1122107667,28.55003,77.2573078,Unidentified
1122107667,28.5500235,77.2572742,Unidentified
1122107667,28.5500265,77.2572327,Unidentified
1122107667,28.5500395,77.2572099,Unidentified
1122107667,28.5500607,77.257175,Unidentified
1122107667,28.5501396,77.2571093,Unidentified
1122273818,28.679566,77.2659534,Unidentified
1122273818,28.6796329,77.2659427,Unidentified
1122276435,28.6824292,77.2587294,Unidentified
1122276435,28.6824925,77.2587447,Unidentified
1122276455,28.6865475,77.2552056,Unidentified
1122276455,28.6865295,77.2551748,Unidentified
1122276465,28.6823692,77.2589525,Unidentified
1122276465,28.6823205,77.2589409,Unidentified
1122276467,28.6835889,77.2583261,Unidentified
1122276467,28.6835503,77.2583125,Unidentified
1122276470,28.6855911,77.2556342,Unidentified
1122276470,28.6854471,77.2557362,Unidentified
1122276476,28.6822423,77.2593369,Unidentified
1122276476,28.6821962,77.2594653,Unidentified
1122276481,28.68516,77.2561082,Unidentified
1122276481,28.6850829,77.2562505,Unidentified
1122276484,28.6836644,77.2582586,Unidentified
1122276484,28.6835502,77.2583088,Unidentified
1122276485,28.6835272,77.2583142,Unidentified
1122276485,28.6833513,77.2583462,Unidentified
1123529896,28.6761888,77.1193795,Unidentified
1123529896,28.6762153,77.1194001,Unidentified
1123533085,28.6650974,77.0781233,Unidentified
1123533085,28.6651007,77.0780564,Unidentified
1124132383,28.6926024,77.2057067,Unidentified
1124132383,28.6924565,77.2061106,Unidentified
1124132383,28.6924377,77.2061672,Unidentified
1124132383,28.6924457,77.2061978,Unidentified
1124132383,28.6924774,77.2062655,Unidentified
